Month,Open,Close
1,4948.6,5077.0
2,5077.0,5307.8
3,5307.8,5179.0
4,5179.0,5424.2
5,5424.2,5209.2
6,5209.2,5193.0
7,5193.0,5239.8
8,5217.1,4981.5
9,4937.4,5097.4
10,5152.6,5482.6
11,5441.3,5250.4
12,5264.9,5199.0
