country,year,gdp
new zealand,2017,286758.00
nigeria,2017,114899250.90
norway,2017,3295382.00
oman,2017,27140.17
pakistan,2017,31922302.90
palestinian territory,2017,
peru,2017,698311.00
philippines,2017,16556651.08
poland,2017,1989835.00
portugal,2017,195947.21
qatar,2017,586400.80
romania,2017,857895.70
russia,2017,91843154.20
rwanda,2017,7694000.00
saudi arabia,2017,2582197.90
serbia,2017,4760686.35
singapore,2017,472079.10
slovakia,2017,84442.87
slovenia,2017,43011.34
south africa,2017,5078189.90
south korea,2017,1835698300.00
spain,2017,1161867.00
sri lanka,2017,13328103.00
sweden,2017,4625094.00
switzerland,2017,693694.13
taiwan,2017,
tanzania,2017,118744498.44
thailand,2017,15486551.00
tunisia,2017,96298.30
turkey,2017,3133704.27
uganda,2017,113485000.00
ukraine,2017,2983882.00
united arab emirates,2017,1416136.22
united kingdom,2017,2097143.00
united states,2017,19542979.50
venezuela,2017,
vietnam,2017,5005975487.43
world,2017,
zambia,2017,246251.78
zimbabwe,2017,27437.99
euro zone,2017,11222418.56
argentina,2018,14744810.70
australia,2018,1901128.00
austria,2018,385423.95
bahrain,2018,14157.34
bangladesh,2018,22504793.00
belgium,2018,460029.40
bosnia,2018,33444.08
botswana,2018,172525.30
brazil,2018,7004141.00
bulgaria,2018,109964.19
canada,2018,2231168.00
chile,2018,190825823.10
china,2018,2835119.00
colombia,2018,978477060.58
costa rica,2018,36014718.70
ivory coast,2018,32063000.00
croatia,2018,390855.98
cyprus,2018,21612.60
czech republic,2018,5409665.00
denmark,2018,2253316.25
ecuador,2018,107562.01
egypt,2018,4437400.00
estonia,2018,25817.68
finland,2018,233468.00
france,2018,2363306.00
germany,2018,3367860.00
greece,2018,179557.68
hong kong,2018,2835119.00
hungary,2018,43392436.00
iceland,2018,2844727.64
india,2018,188869575.40
indonesia,2018,14838756000.00
iraq,2018,266736181.97
ireland,2018,326042.80
israel,2018,1341580.80
italy,2018,1771391.20
jamaica,2018,2027251.09
japan,2018,556189600.00
jordan,2018,30481.85
kazakhstan,2018,61819536.00
kenya,2018,8892110.80
kuwait,2018,42474.70
latvia,2018,29153.56
lebanon,2018,82854123.18
lithuania,2018,45514.80
luxembourg,2018,60362.21
malawi,2018,7113141.59
malaysia,2018,1447452.00
malta,2018,12979.63
mauritius,2018,481255.00
mexico,2018,23524390.20
mongolia,2018,32411224.10
montenegro,2018,4663.13
morocco,2018,1106821.94
namibia,2018,181053.84
netherlands,2018,773987.00
new zealand,2018,303059.00
nigeria,2018,129086908.20
norway,2018,3553900.00
oman,2018,30678.78
pakistan,2018,34616302.00
palestinian territory,2018,
peru,2018,740420.00
philippines,2018,18265190.26
poland,2018,2121555.00
portugal,2018,205184.12
qatar,2018,667339.23
romania,2018,951728.50
russia,2018,104629637.70
rwanda,2018,8302000.00
saudi arabia,2018,2949457.20
serbia,2018,5072932.24
singapore,2018,503395.20
slovakia,2018,89430.03
slovenia,2018,45864.25
south africa,2018,5357640.10
south korea,2018,1898192600.00
spain,2018,1203259.00
sri lanka,2018,14366105.00
sweden,2018,4828306.00
switzerland,2018,719271.62
taiwan,2018,
tanzania,2018,129043901.31
thailand,2018,16365572.00
tunisia,2018,105268.48
turkey,2018,3758773.73
uganda,2018,126374000.00
ukraine,2018,3558706.00
united arab emirates,2018,1550584.75
united kingdom,2018,2174380.00
united states,2018,20611861.00
venezuela,2018,
vietnam,2018,5542331870.41
world,2018,
zambia,2018,282423.49
zimbabwe,2018,42468.17
euro zone,2018,11600243.89
argentina,2019,21802256.30
australia,2019,2001152.00
austria,2019,397518.54
bahrain,2019,14503.85
bangladesh,2019,25424826.00
belgium,2019,478160.70
bosnia,2019,35295.75
botswana,2019,178480.40
brazil,2019,7407023.60
bulgaria,2019,120395.23
canada,2019,2310712.00
chile,2019,196379332.70
china,2019,2844560.00
colombia,2019,1061729531.54
costa rica,2019,37629651.10
ivory coast,2019,34323171.45
croatia,2019,412228.31
cyprus,2019,23009.94
czech republic,2019,5790348.00
denmark,2019,2318041.86
ecuador,2019,108108.01
egypt,2019,5322100.00
estonia,2019,27732.29
finland,2019,240097.00
france,2019,2437635.00
germany,2019,3473350.00
greece,2019,183250.40
hong kong,2019,2844560.00
hungary,2019,47530610.00
iceland,2019,3047727.36
india,2019,203510126.23
indonesia,2019,15832535400.00
iraq,2019,272028665.07
ireland,2019,356526.26
israel,2019,1418448.80
italy,2019,1794934.90
jamaica,2019,2110432.54
japan,2019,559862300.00
jordan,2019,31597.06
kazakhstan,2019,69532600.00
kenya,2019,9740359.90
kuwait,2019,40873.23
latvia,2019,30647.22
lebanon,2019,79177048.52
lithuania,2019,48859.87
luxembourg,2019,62704.17
malawi,2019,8098520.56
malaysia,2019,1510693.00
malta,2019,14047.61
mauritius,2019,498274.00
mexico,2019,24453867.50
mongolia,2019,36897640.20
montenegro,2019,4950.72
morocco,2019,1140271.55
namibia,2019,181555.30
netherlands,2019,813055.00
new zealand,2019,319200.00
nigeria,2019,145639140.30
norway,2019,3568488.00
oman,2019,29349.47
pakistan,2019,37972310.00
palestinian territory,2019,
peru,2019,769963.00
philippines,2019,19516418.27
poland,2019,2293199.00
portugal,2019,214374.62
qatar,2019,641991.41
romania,2019,1058973.20
russia,2019,110046051.60
rwanda,2019,9315000.00
saudi arabia,2019,2973625.60
serbia,2019,5421851.31
singapore,2019,507567.70
slovakia,2019,94048.03
slovenia,2019,48396.70
south africa,2019,5605033.90
south korea,2019,1924498000.00
spain,2019,1244375.00
sri lanka,2019,15016142.00
sweden,2019,5049619.00
switzerland,2019,727212.15
taiwan,2019,
tanzania,2019,139893804.13
thailand,2019,16875891.00
tunisia,2019,113848.41
turkey,2019,4317786.91
uganda,2019,137951000.00
ukraine,2019,3977198.00
united arab emirates,2019,1546644.98
united kingdom,2019,2255283.00
united states,2019,21433226.30
venezuela,2019,
vietnam,2019,6037347630.70
world,2019,
zambia,2019,311353.34
zimbabwe,2019,159390.66
euro zone,2019,11982723.26
argentina,2020,27481440.00
australia,2020,1971788.00
austria,2020,379320.56
bahrain,2020,
bangladesh,2020,
belgium,2020,456892.90
bosnia,2020,34240.16
botswana,2020,172552.40
brazil,2020,7447858.30
bulgaria,2020,119951.09
canada,2020,2204905.00
chile,2020,200512436.20
china,2020,2688536.00
colombia,2020,
costa rica,2020,36174304.60
ivory coast,2020,
croatia,2020,378349.00
cyprus,2020,21548.37
czech republic,2020,5694623.00
denmark,2020,2329561.40
ecuador,2020,
egypt,2020,
estonia,2020,26834.52
finland,2020,236169.00
france,2020,2302860.00
germany,2020,3367560.00
greece,2020,165326.43
hong kong,2020,2688536.00
hungary,2020,47988479.00
iceland,2020,2941098.99
india,2020,
indonesia,2020,15434151800.00
iraq,2020,
ireland,2020,372868.50
israel,2020,1401406.40
italy,2020,1653577.20
jamaica,2020,
japan,2020,538697400.00
jordan,2020,
kazakhstan,2020,
kenya,2020,
kuwait,2020,
latvia,2020,29510.98
lebanon,2020,
lithuania,2020,49507.22
luxembourg,2020,64221.14
malawi,2020,
malaysia,2020,
malta,2020,13054.93
mauritius,2020,
mexico,2020,23073727.00
mongolia,2020,
montenegro,2020,4185.55
morocco,2020,
namibia,2020,176327.30
netherlands,2020,800095.00
new zealand,2020,322118.00
nigeria,2020,
norway,2020,3413450.00
oman,2020,
pakistan,2020,
palestinian territory,2020,
peru,2020,
philippines,2020,
poland,2020,2326656.00
portugal,2020,200087.57
qatar,2020,525657.36
romania,2020,1055548.80
russia,2020,
rwanda,2020,9746000.00
saudi arabia,2020,2625442.00
serbia,2020,5502216.27
singapore,2020,
slovakia,2020,92079.25
slovenia,2020,46918.05
south africa,2020,5521075.10
south korea,2020,1933152400.00
spain,2020,1121948.00
sri lanka,2020,
sweden,2020,4983363.00
switzerland,2020,706241.81
taiwan,2020,
tanzania,2020,
thailand,2020,15606463.00
tunisia,2020,
turkey,2020,5046883.31
uganda,2020,
ukraine,2020,4191864.00
united arab emirates,2020,
united kingdom,2020,2156073.00
united states,2020,20936559.00
venezuela,2020,
vietnam,2020,6293144896.28
world,2020,
zambia,2020,
zimbabwe,2020,
euro zone,2020,11400379.61
