Month,Open,Close
1,14290.63,14290.63
2,13907.69,13907.69
3,13095.77,13095.77
4,13082.01,13082.01
5,12756.58,12756.58
6,15023.81,15023.81
7,13811.64,13811.64
8,12890.12,12890.12
9,13129.04,13129.04
10,13211.56,13211.56
11,12489.58,12489.58
12,12897.59,12897.59
