Month,Open,Close
1,1.61,5.44
2,5.44,10.52
3,10.52,8.57
4,8.57,17.78
5,17.78,15.79
6,15.79,18.45
7,18.45,25.79
8,25.79,55.58
9,55.58,48.86
10,48.86,47.77
11,47.77,69.89
12,69.89,90.22
