Month,Open,Close
1,4675.79,4475.03
2,4484.48,4647.9
3,4666.56,5007.85
4,4993.88,5033.66
5,5022.33,5289.98
6,5294.07,5152.96
7,5190.43,5189.23
8,5191.43,5156.67
9,5166.42,5409.58
10,5412.04,5475.67
11,5442.73,5363.07
12,5374.85,5388.33
