Month,Open,Close
1,1286.26,1300.98
2,1300.85,1332.37
3,1335.52,1407.7
4,1405.07,1404.61
5,1403.53,1424.28
6,1423.26,1444.99
7,1452.83,1524.07
8,1531.94,1548.44
9,1549.21,1483.21
10,1490.11,1495.72
11,1500.15,1510.24
12,1519.66,1542.94
