Month,Open,Close
1,44.93,46.05
2,46.09,43.49
3,43.29,31.38
4,31.21,31.86
5,31.86,30.44
6,29.82,31.42
7,31.31,28.87
8,28.87,28.35
9,28.2,27.06
10,27.06,26.11
11,26.11,33.08
12,33.08,36.68
