Month,Open,Close
1,618.18,623.54
2,623.38,619.2
3,619.18,618.27
4,618.48,623.66
5,623.68,636.97
6,637.37,625.42
7,625.42,660.35
8,660.38,669.91
9,670.25,713.68
10,713.68,739.93
11,740.09,729.52
12,729.47,742.8
