Month,Open,Close
1,448.44,448.44
2,447.42,447.42
3,446.35,446.35
4,442.59,442.59
5,441.34,441.34
6,455.55,455.55
7,458.18,458.18
8,464.66,464.66
9,504.58,504.58
10,531.82,531.82
11,562.82,562.82
12,586.43,586.43
