Month,Open,Close
1,803.38,878.83
2,881.75,835.66
3,831.94,780.5
4,776.5,858.22
5,859.28,755.85
6,757.05,757.57
7,753.8,761.23
8,761.17,729.62
9,727.27,691.69
10,690.73,640.15
11,640.88,630.23
12,632.68,613.3
