Month,Open,Close
1,565.48,621.3
2,621.3,653.79
3,653.79,716.66
4,716.66,693.2
5,693.2,638.67
6,638.67,613.46
7,613.46,619.09
8,619.09,593.57
9,593.57,585.77
10,585.77,571.81
11,571.81,593.85
12,593.85,618.31
